data_id,value,value_log,value_category,value_log_scaled,precision_scaled,characteristic_order_scaled,indicator_order_scaled,data_quality_score_scaled,is_preferred,high_precision,indicator_encoded,survey_cohort,dataset_source_encoded,char_order_quintile,indicator_importance,sample_size_tier,by_var_0,by_var_14000,by_var_14001,by_var_14002,by_var_Other,type_D,type_I,type_S,type_T,type_U,char_Five year periods,char_Source of vaccination information,char_Total,char_Total 15-49
15525,0.9,0.6418538861723948,Low,-1.4310054603578932,0.6602681824085275,-0.32273957024573297,-0.6594531060902044,0.6249303506845532,1,1,12,46,1,1,Low,Medium,0,0,0,1,0,0,0,1,0,0,0,0,1,0
508220,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6594529536285322,-1.5980361824647868,0,1,16,59,1,1,Low,Medium,0,1,0,0,0,0,0,0,1,0,0,0,1,0
413493,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6594529536285322,-1.5980361824647868,0,1,16,74,1,1,Low,Medium,0,0,1,0,0,0,0,0,1,0,0,0,1,0
15520,100,4.61512051684126,High,0.20382898192576954,0.6602681824085275,-0.32273957024573297,-0.6594529536285322,0.6249303506845532,1,1,16,46,1,1,Low,Medium,0,0,0,1,0,0,0,0,1,0,0,0,1,0
508221,85.5,4.460144413937834,Medium,0.1400627426299268,0.6602681824085275,-0.32273957024573297,-0.65945280116686,-1.5980361824647868,0,1,10,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
413494,84.4,4.447346100794524,Medium,0.1347967675331858,0.6602681824085275,-0.32273957024573297,-0.65945280116686,-1.5980361824647868,0,1,10,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15521,86.4,4.470495282661489,Medium,0.14432169584649968,0.6602681824085275,-0.32273957024573297,-0.65945280116686,0.6249303506845532,1,1,10,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
508222,15.4,2.797281334830153,Low,-0.5441364534530864,0.6602681824085275,-0.32273957024573297,-0.6594526487051878,-1.5980361824647868,0,1,38,59,1,1,Low,Medium,0,1,0,0,0,0,1,0,0,0,0,0,1,0
413495,15.5,2.803360380906535,Low,-0.5416351780981461,0.6602681824085275,-0.32273957024573297,-0.6594526487051878,-1.5980361824647868,0,1,38,74,1,1,Low,Medium,0,0,1,0,0,0,1,0,0,0,0,0,1,0
15522,15.1,2.7788192719904172,Low,-0.5517328266672656,0.6602681824085275,-0.32273957024573297,-0.6594526487051878,0.6249303506845532,1,1,38,46,1,1,Low,Medium,0,0,0,1,0,0,1,0,0,0,0,0,1,0
521104,3072,8.030409562130485,High,1.6090787878400006,-1.5125086116847326,-0.32273957024573297,-0.6594524962435157,-1.5980361824647868,0,1,138,59,1,1,Low,Medium,0,1,0,0,0,1,0,0,0,0,0,0,1,0
387443,4992,8.51579221050061,High,1.808793618231023,-1.5125086116847326,-0.32273957024573297,-0.6594524962435157,-1.5980361824647868,0,1,138,74,1,1,Low,Medium,0,0,1,0,0,1,0,0,0,0,0,0,1,0
15519,2081,7.641084249174914,High,1.4488875673566455,-1.5125086116847326,-0.32273957024573297,-0.6594524962435157,0.6249303506845532,1,1,138,46,1,1,Low,Medium,0,0,0,1,0,1,0,0,0,0,0,0,1,0
